ticker,nt_currency,exchange_name,nt_country_name,nt_bloomberg_code,nt_bloomberg_id
HANKYU HANSHIN HOLDINGS INC,JPY,TOKYO,JAPAN,9042 JT,BBG000BH01Q8
BEST BUY CO INC,USD,N.Y.S.E.,UNITED-STATES (U.S.A.),BBY UN,BBG000BCWFH3
STOCKLAND,AUD,AUSTRALIAN S.E.,AUSTRALIA,SGP AT,BBG000BC2560
NEC CORP,JPY,TOKYO,JAPAN,6701 JT,BBG000BGJN28
AIA GROUP LTD,HKD,HONG KONG,HONG KONG,1299 HK,BBG0016XR1Q8
JOHNSON CONTROLS INTERNATION,USD,N.Y.S.E.,UNITED-STATES (U.S.A.),JCI UN,BBG000BVWMZ6
KELLANOVA,USD,N.Y.S.E.,UNITED-STATES (U.S.A.),K UN,BBG000BMKH35
VF CORP,USD,N.Y.S.E.,UNITED-STATES (U.S.A.),VFC UN,BBG000BWCLX0
HIKMA PHARMACEUTICALS PLC,GBP,LSE SETS,GREAT-BRITAIN,HIK LN,BBG000FG1MF1
STMICROELECTRONICS NV,EUR,EURONEXT MILAN,SWITZERLAND,STMMI IM,BBG000JWXD12
ADP,EUR,EURONEXT PARIS,FRANCE,ADP FP,BBG000H292Q4
ADVANTEST CORP,JPY,TOKYO,JAPAN,6857 JT,BBG000BGN078
LOREAL,EUR,EURONEXT PARIS,FRANCE,OR FP,BBG000BC98G6
UCB SA,EUR,EURONEXT BRUSSELS,BELGIUM,UCB BB,BBG000BD8CR4
INGERSOLL-RAND INC,USD,N.Y.S.E.,UNITED-STATES (U.S.A.),IR UN,BBG00GK8PMC5
LENNOX INTERNATIONAL INC,USD,N.Y.S.E.,UNITED-STATES (U.S.A.),LII UN,BBG000BB5D35
3I GROUP PLC,GBP,LSE SETS,GREAT-BRITAIN,III LN,BBG000BZZ876
DSV A/S,DKK,COPENHAGEN,DENMARK,DSV DC,BBG000BSNXK5
CAPITALAND INTEGRATED COMMER,SGD,SINGAPORE,SINGAPORE,CICT SP,BBG000HR2RM5
KBC GROUP NV,EUR,EURONEXT BRUSSELS,BELGIUM,KBC BB,BBG000BMVX65
